"home_team","away_team","totals_quantile_low","totals_quantile_high","home_score_mean","away_score_mean","Home.Line.Open","Total.Score.Open","Home.Score","Away.Score","totals","over_under","totals_result","totals_win_lose","home_pt_diff","score_diff","side_bet","sides_result"
"West Coast","Essendon","126.274988217896","133.044590114852","60.7674252530775","70.0832183868771",13.5,166.5,107,97,204,"under",37.5,"lose",-9.31579313379961,10,"home","win"
"Carlton","Fremantle","143.959043484941","150.392926887164","76.9992546628136","70.5637192719442",1.5,162.5,81,50,131,"under",-31.5,"win",6.4355353908694,31,"home","win"
"Geelong","Richmond","158.193161898905","165.842432418394","75.0523570595978","87.6591803544414",2.5,167.5,89,86,175,"under",7.5,"lose",-12.6068232948436,3,"away","loss"
"Sydney","St Kilda","146.334903763282","153.099407558028","74.0581866427446","76.0644487991097",-9.5,166.5,83,32,115,"under",-51.5,"win",-2.0062621563651,51,"away","loss"
"North Melbourne","Adelaide","127.716884046017","134.128261930143","59.7689316395813","71.8105821543623",24.5,156.5,58,115,173,"under",16.5,"lose",-12.041650514781,-57,"home","loss"
"Collingwood","GWS Giants","136.992296509607","143.655303001689","65.521573816177","75.3273336603505",-14.5,168.5,88,77,165,"under",-3.5,"win",-9.80575984417351,11,"away","win"
"Port Adelaide","Gold Coast","138.937355301127","145.48865658824","75.2623022981669","67.5009322454246",-15.5,154.5,93,91,184,"under",29.5,"lose",7.76137005274231,2,"away","win"
"Brisbane","Western Bulldogs","174.395482534927","182.228908246143","90.8611900832256","87.7978449027667",-15.5,174.5,108,67,175,"no bet",0.5,NA,3.0633451804589,41,"away","loss"
"Carlton","St Kilda","140.726984679213","147.098257950196","71.8341182669967","72.528858366679",-3.5,162.5,78,93,171,"under",8.5,"lose",-0.694740099682306,-15,"away","win"
"Essendon","Sydney","152.001962745418","158.851595986744","80.8647089985495","74.9176153582412",16.5,167.5,95,86,181,"under",13.5,"lose",5.9470936403083,9,"home","win"
"Adelaide","Melbourne","149.559144990222","155.72390769523","86.2911716624655","66.7133703753829",28.5,162.5,65,94,159,"under",-3.5,"win",19.5778012870826,-29,"home","loss"
"Geelong","North Melbourne","131.306299664306","138.086832641929","54.9670149956978","80.1410640244663",-58.5,160.5,144,32,176,"under",15.5,"lose",-25.1740490287685,112,"away","loss"
"Gold Coast","Collingwood","140.756581834505","147.703061644369","69.2334236628702","75.8637304565821",-1.5,144.5,62,67,129,"no bet",-15.5,NA,-6.63030679371191,-5,"away","win"
"Richmond","West Coast","138.096408797097","145.143922560057","64.8754328408976","77.7615673516853",-40.5,172.5,128,93,221,"under",48.5,"lose",-12.8861345107877,35,"away","win"
"GWS Giants","Hawthorn","142.779015968761","149.504686523144","71.4494570504635","75.0954139202098",-8.5,151.5,72,50,122,"under",-29.5,"win",-3.6459568697463,22,"away","loss"
"Fremantle","Port Adelaide","132.575228955738","138.713869857395","67.2328719687453","68.8740761505106",-20.5,155.5,99,91,190,"under",34.5,"lose",-1.6412041817653,8,"away","win"
"Geelong","Melbourne","148.882906006442","155.471627378262","78.2539706898183","74.4050390184113",4.5,158.5,91,63,154,"under",-4.5,"win",3.848931671407,28,"home","win"
"Sydney","Western Bulldogs","168.592203657679","175.951114964757","88.8717191857357","83.726056305247",-7.5,157.5,120,67,187,"over",29.5,"win",5.1456628804887,53,"away","loss"
"Collingwood","North Melbourne","119.072215690369","125.428233883714","50.9803525580165","71.7969974456825",-52.5,161.5,88,81,169,"under",7.5,"lose",-20.816644887666,7,"away","win"
"Gold Coast","Richmond","162.236788088392","170.026213478702","82.2769373769123","84.6014954901498",9.5,167.5,94,92,186,"no bet",18.5,NA,-2.3245581132375,2,"home","win"
"St Kilda","Fremantle","133.144701561752","139.352324807651","64.631879600513","71.974049192368",8.5,158.5,70,111,181,"under",22.5,"lose",-7.342169591855,-41,"home","loss"
