home_team,away_team,totals_quantile,sides_quantile,Date,Kick.Off,Venue,Home.Score,Away.Score,Home.Goals,Home.Behinds,Away.Goals,Away.Behinds,Home.Odds,Away.Odds,Bookmakers.Surveyed,Home.Odds.Open,Home.Odds.Min,Home.Odds.Max,Home.Odds.Close,Away.Odds.Open,Away.Odds.Min,Away.Odds.Max,Away.Odds.Close,Home.Line.Open,Home.Line.Min,Home.Line.Max,Home.Line.Close,Away.Line.Open,Away.Line.Min,Away.Line.Max,Away.Line.Close,Home.Line.Odds.Open,Home.Line.Odds.Min,Home.Line.Odds.Max,Home.Line.Odds.Close,Away.Line.Odds.Open,Away.Line.Odds.Min,Away.Line.Odds.Max,Away.Line.Odds.Close,Total.Score.Open,Total.Score.Min,Total.Score.Max,Total.Score.Close,Total.Score.Over.Open,Total.Score.Over.Min,Total.Score.Over.Max,Total.Score.Over.Close,Total.Score.Under.Open,Total.Score.Under.Min,Total.Score.Under.Max,Total.Score.Under.Close,Notes,totals,bet_total_open,bet_total_high,bet_total_low,bet_total_close,season,bet,cash,,,,
Brisbane Lions,Port Adelaide,160.1194103,9.138792827,19/03/2022,19:10,Gabba,80,69,11,14,10,9,1.38,2.96,14,1.62,1.38,1.62,1.38,2.3,2.3,3.2,3.2,-8.5,-17.5,-8.5,-17.5,8.5,8.5,17.5,17.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,168.5,167.5,172.5,172.5,1.89,1.91,1.91,1.91,1.89,1.91,1.91,1.91,,149,-8.380589674,-12.38058967,-7.380589674,-12.38058967,NA,under,yes,,,,
Brisbane Lions,Port Adelaide,165.6150219,14.56504399,19/03/2022,19:10,Gabba,80,69,11,14,10,9,1.38,2.96,14,1.62,1.38,1.62,1.38,2.3,2.3,3.2,3.2,-8.5,-17.5,-8.5,-17.5,8.5,8.5,17.5,17.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,168.5,167.5,172.5,172.5,1.89,1.91,1.91,1.91,1.89,1.91,1.91,1.91,,149,-2.884978108,-6.884978108,-1.884978108,-6.884978108,NA,fave,yes,,,,
Hawthorn,North Melbourne,124.1551383,8.615899159,20/03/2022,13:10,MCG,78,58,11,12,8,10,1.78,1.99,14,1.68,1.65,1.91,1.83,2.2,1.91,2.25,2.02,-6.5,-7.5,-1.5,-2.5,6.5,1.5,7.5,2.5,1.91,1.91,2,1.91,1.91,1.82,1.91,1.91,157.5,157.5,164.5,164.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,136,-33.34486165,-40.34486165,-33.34486165,-40.34486165,NA,under,yes,,,,
Hawthorn,North Melbourne,128.3225063,12.80444156,20/03/2022,13:10,MCG,78,58,11,12,8,10,1.78,1.99,14,1.68,1.65,1.91,1.83,2.2,1.91,2.25,2.02,-6.5,-7.5,-1.5,-2.5,6.5,1.5,7.5,2.5,1.91,1.91,2,1.91,1.91,1.82,1.91,1.91,157.5,157.5,164.5,164.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,136,-29.17749372,-36.17749372,-29.17749372,-36.17749372,NA,fave ,yes,,,,
Adelaide Crows,Fremantle,151.6912783,-4.980490516,20/03/2022,15:40,Adelaide Oval,82,83,12,10,11,17,1.71,2.08,14,2.05,1.7,2.15,1.72,1.78,1.72,2.18,2.18,3.5,-5.5,5.5,-5.5,-3.5,-5.5,5.5,5.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,158.5,157.5,163.5,162.5,1.89,1.89,1.95,1.91,1.89,1.89,1.91,1.91,,165,-6.808721709,-11.80872171,-5.808721709,-10.80872171,NA,under,no,,,,
Adelaide Crows,Fremantle,157.1787279,0.610403249,20/03/2022,15:40,Adelaide Oval,82,83,12,10,11,17,1.71,2.08,14,2.05,1.7,2.15,1.72,1.78,1.72,2.18,2.18,3.5,-5.5,5.5,-5.5,-3.5,-5.5,5.5,5.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,158.5,157.5,163.5,162.5,1.89,1.89,1.95,1.91,1.89,1.89,1.91,1.91,,165,-1.321272088,-6.321272088,-0.321272088,-5.321272088,NA,dog,yes,,,,
West Coast Eagles,Gold Coast Suns,129.6681654,-15.4769179,20/03/2022,16:40,Optus Stadium,80,107,12,8,16,11,2.17,1.66,14,1.27,1.27,2.35,2.3,3.85,1.6,3.85,1.65,-23.5,-23.5,8.5,7.5,23.5,-8.5,23.5,-7.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,156.5,156.5,162.5,161.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,187,-26.83183464,-32.83183464,-26.83183464,-31.83183464,NA,under,no,,,,
West Coast Eagles,Gold Coast Suns,134.6860807,-10.46494367,20/03/2022,16:40,Optus Stadium,80,107,12,8,16,11,2.17,1.66,14,1.27,1.27,2.35,2.3,3.85,1.6,3.85,1.65,-23.5,-23.5,8.5,7.5,23.5,-8.5,23.5,-7.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,156.5,156.5,162.5,161.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,187,-21.81391932,-27.81391932,-21.81391932,-26.81391932,NA,fave,yes,,,,
Western Bulldogs,Carlton,165.0440469,-32.4370353,24/03/2022,19:20,Marvel Stadium,90,102,13,12,16,6,1.53,2.43,13,1.44,1.42,1.65,1.58,2.8,2.25,2.9,2.45,-14.5,-15.5,-7.5,-9.5,14.5,7.5,15.5,9.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,170.5,169.5,173.5,169.5,1.91,1.95,1.89,1.95,1.91,1.85,1.89,1.85,,192,-5.455953147,-8.455953147,-4.455953147,-4.455953147,NA,none,,,,,
Western Bulldogs,Carlton,172.3092886,-25.17539889,24/03/2022,19:20,Marvel Stadium,90,102,13,12,16,6,1.53,2.43,13,1.44,1.42,1.65,1.58,2.8,2.25,2.9,2.45,-14.5,-15.5,-7.5,-9.5,14.5,7.5,15.5,9.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,170.5,169.5,173.5,169.5,1.91,1.95,1.89,1.95,1.91,1.85,1.89,1.85,,192,1.809288563,-1.190711437,2.809288563,2.809288563,NA,dog,yes,,,,
Sydney,Geelong Cats,149.3312835,11.82295904,25/03/2022,19:50,SCG,107,77,17,5,10,17,1.8,1.96,13,1.68,1.68,1.83,1.83,2.2,2.02,2.2,2.02,-6.5,-6.5,-2.5,-2.5,6.5,2.5,6.5,2.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,142.5,142.5,156.5,156.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,184,6.83128351,-7.16871649,6.83128351,-7.16871649,NA,over,yes,,,,
Sydney,Geelong Cats,155.4969624,17.89459691,25/03/2022,19:50,SCG,107,77,17,5,10,17,1.8,1.96,13,1.68,1.68,1.83,1.83,2.2,2.02,2.2,2.02,-6.5,-6.5,-2.5,-2.5,6.5,2.5,6.5,2.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,142.5,142.5,156.5,156.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,184,12.99696241,-1.003037586,12.99696241,-1.003037586,NA,fave ,yes,,,,
Collingwood,Adelaide Crows,132.2760253,4.420186157,26/03/2022,13:45,MCG,100,58,15,10,8,10,1.33,3.21,13,1.62,1.31,1.62,1.33,2.3,2.3,3.5,3.5,-8.5,-20.5,-8.5,-19.5,8.5,8.5,20.5,19.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,163.5,163.5,170.5,168.5,1.89,1.89,1.91,1.95,1.89,1.89,1.91,1.87,,158,-31.2239747,-38.2239747,-31.2239747,-36.2239747,NA,under,yes,,,,
