home_team,away_team,totals_quantile,sides_quantile,Kick.Off,Venue,Home.Score,Away.Score,Home.Goals,Home.Behinds,Away.Goals,Away.Behinds,Home.Odds,Away.Odds,Bookmakers.Surveyed,Home.Odds.Open,Home.Odds.Min,Home.Odds.Max,Home.Odds.Close,Away.Odds.Open,Away.Odds.Min,Away.Odds.Max,Away.Odds.Close,Home.Line.Open,Home.Line.Min,Home.Line.Max,Home.Line.Close,Away.Line.Open,Away.Line.Min,Away.Line.Max,Away.Line.Close,Home.Line.Odds.Open,Home.Line.Odds.Min,Home.Line.Odds.Max,Home.Line.Odds.Close,Away.Line.Odds.Open,Away.Line.Odds.Min,Away.Line.Odds.Max,Away.Line.Odds.Close,Total.Score.Open,Total.Score.Min,Total.Score.Max,Total.Score.Close,Total.Score.Over.Open,Total.Score.Over.Min,Total.Score.Over.Max,Total.Score.Over.Close,Total.Score.Under.Open,Total.Score.Under.Min,Total.Score.Under.Max,Total.Score.Under.Close,Notes,totals,,
Collingwood,Adelaide,146.5359262,6.292508743,13:45,MCG,100,58,15,10,8,10,1.33,3.21,13,1.62,1.31,1.62,1.33,2.3,2.3,3.5,3.5,-8.5,-20.5,-8.5,-19.5,8.5,8.5,20.5,19.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,163.5,163.5,170.5,168.5,1.89,1.89,1.91,1.95,1.89,1.89,1.91,1.87,,158,5,6
Essendon,Brisbane,159.3186162,5.744411281,16:35,Marvel Stadium,75,97,10,15,15,7,2.88,1.4,13,2.4,2.4,3.1,3,1.58,1.38,1.58,1.42,9.5,9.5,17.5,15.5,-9.5,-17.5,-9.5,-15.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,164.5,164.5,179.5,179.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,172,no bet,
Essendon,Brisbane,166.5429227,12.9357468,16:35,Marvel Stadium,75,97,10,15,15,7,2.88,1.4,13,2.4,2.4,3.1,3,1.58,1.38,1.58,1.42,9.5,9.5,17.5,15.5,-9.5,-17.5,-9.5,-15.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,164.5,164.5,179.5,179.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,172,5,6
Port Adelaide,Hawthorn,142.8325133,-13.01433952,19:10,Adelaide Oval,56,120,7,14,19,6,1.27,3.57,13,1.22,1.19,1.3,1.28,4.35,3.6,4.8,3.85,-26.5,-29.5,-22.5,-22.5,26.5,22.5,29.5,22.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,159.5,157.5,161.5,158.5,1.89,1.89,1.89,1.91,1.89,1.89,1.89,1.91,,176,under,
Port Adelaide,Hawthorn,149.7640496,-6.169611518,19:10,Adelaide Oval,56,120,7,14,19,6,1.27,3.57,13,1.22,1.19,1.3,1.28,4.35,3.6,4.8,3.85,-26.5,-29.5,-22.5,-22.5,26.5,22.5,29.5,22.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,159.5,157.5,161.5,158.5,1.89,1.89,1.89,1.91,1.89,1.89,1.89,1.91,,176,5,7
Gold Coast,Melbourne,152.6581571,-15.21485778,19:00,Metricon Stadium,69,82,10,9,12,10,3.59,1.27,13,5,3.5,5.5,3.85,1.18,1.15,1.33,1.28,30.5,20.5,32.5,22.5,-30.5,-32.5,-20.5,-22.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,156.5,145.5,158.5,145.5,1.89,1.91,1.89,1.91,1.89,1.91,1.89,1.91,,151,no bet,
Gold Coast,Melbourne,160.3164447,-7.625311363,19:00,Metricon Stadium,69,82,10,9,12,10,3.59,1.27,13,5,3.5,5.5,3.85,1.18,1.15,1.33,1.28,30.5,20.5,32.5,22.5,-30.5,-32.5,-20.5,-22.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,156.5,145.5,158.5,145.5,1.89,1.91,1.89,1.91,1.89,1.91,1.89,1.91,,151,5,7
North Melbourne,West Coast,122.5247238,-2.789372955,13:10,Marvel Stadium,74,59,10,14,8,11,1.24,3.96,10,1.7,1.17,2.1,1.25,2.18,1.75,5.25,4.15,-5.5,-30.5,4.5,-25.5,5.5,-4.5,30.5,25.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,162.5,162.5,175.5,170.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,133,under,
North Melbourne,West Coast,128.6796903,3.276736163,13:10,Marvel Stadium,74,59,10,14,8,11,1.24,3.96,10,1.7,1.17,2.1,1.25,2.18,1.75,5.25,4.15,-5.5,-30.5,4.5,-25.5,5.5,-4.5,30.5,25.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,162.5,162.5,175.5,170.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,133,6,7
Richmond,GWS Giants,149.2850865,-11.86940763,15:20,MCG,109,73,16,13,10,13,2.31,1.55,13,1.58,1.58,2.7,2.5,2.4,1.47,2.4,1.56,-9.5,-9.5,13.5,10.5,9.5,-13.5,9.5,-10.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,164.5,164.5,170.5,168.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,182,under,
