"match_id","points_per_kick","home_ground","temp","humidity","dew","precip","precipprob","windspeed","winddir","conditions"
15753,3.34782608695652,"Sydney Showground Stadium",60.9,62.05,47.8,0,0,129,129,"Partially cloudy"
15754,3.19565217391304,"Sydney Cricket Ground",61.1,67.12,50.1,0,0,74,74,"Partially cloudy"
15755,2.9375,"Melbourne Cricket Ground",52,65.59,40.8,0,0,351,351,"Partially cloudy"
15756,3.075,"Docklands Stadium",58.3,57.55,43.4,0,0,350,350,"Partially cloudy"
15757,3.60526315789474,"Melbourne Cricket Ground",58.6,57.31,43.5,0.001,0.001,351,351,"Rain, Overcast"
15758,3.03333333333333,"Perth Stadium",78.8,47.55,57.2,0,0,260,260,"Clear"
15759,3.45945945945946,"Adelaide Oval",46.4,91.14,44,0,0,144,144,"Partially cloudy"
15760,2.43243243243243,"Carrara Stadium",58.9,89.28,55.8,0,0,227,227,"Partially cloudy"
15761,2.91891891891892,"Sydney Showground Stadium",59,75.51,51.2,0,0,25,25,"Clear"
15762,3.75,"Docklands Stadium",51.3,66.58,40.5,0,0,224,224,"Overcast"
15763,3.14705882352941,"Sydney Cricket Ground",60.4,81.9,54.8,0.008,0.008,93,93,"Rain, Overcast"
15764,3.31428571428571,"Adelaide Oval",49,90.99,46.5,0,0,104,104,"Clear"
15765,2.95,"Adelaide Oval",59,62.81,46.3,0,0,336,336,"Partially cloudy"
15766,3.53488372093023,"Perth Stadium",84.2,16.42,33.8,0,0,120,120,"Clear"
15767,2.25,"Melbourne Cricket Ground",51.7,93.46,49.9,0,0,234,234,"Overcast"
15768,1.96666666666667,"Perth Stadium",75.9,24.53,37,0,0,194,194,"Partially cloudy"
15769,3.43589743589744,"Docklands Stadium",52.8,86.44,48.9,0,0,51,51,"Partially cloudy"
15770,2.92105263157895,"Melbourne Cricket Ground",46.8,82.65,41.8,0,0,138,138,"Clear"
15771,3.94594594594595,"Docklands Stadium",59.3,50.75,41.1,0,0,0,0,"Rain, Partially cloudy"
15772,3.07894736842105,"Docklands Stadium",51.8,64.66,40.3,0,0,6,6,"Overcast"
15773,3.76744186046512,"Docklands Stadium",59.9,55.05,43.7,0,0,358,358,"Partially cloudy"
15774,2.92,"Docklands Stadium",58,61.09,44.6,0,0,360,360,"Partially cloudy"
15775,3.88571428571429,"Perth Stadium",72.7,75.15,64.4,0,0,288,288,"Clear"
15776,2.42105263157895,"Carrara Stadium",73,39.27,46.7,0,0,49,49,"Clear"
15777,3.6551724137931,"Perth Stadium",80.6,44.83,57.2,0,0,310,310,"Clear"
15778,2.51351351351351,"Adelaide Oval",50.4,86.2,46.4,0,0,192,192,"Partially cloudy"
15780,2.83333333333333,"Melbourne Cricket Ground",42.5,87.24,38.9,0,0,214,214,"Partially cloudy"
15781,3.69230769230769,"Kardinia Park",49.5,70.7,40.3,0,0,219,219,"Partially cloudy"
